title,author,publisher,isbn,edition,mrp,purchase_price,selling_price,commission,discount,discount_type,group,product_code,book_type,stock_quantity,stock_godown_quantity,stock_shop_quantity,stock_location,image_url,notes
ছোটদের আসমাউল হুসনার গল্প (১-৫),আফসানা মিমি,তারুণ্য প্রকাশন,,,700,215,399.00,0,0,amount,,87536,single,458,413,45,shop,https://tarunyaprokashon.com/media/books/WhatsApp_Image_2025-02-12_at_21.28.10_11eada49.jpg,Imported from stock report
মিনি প্যারেন্টিং বুক,আফসানা মিমি,তারুণ্য প্রকাশন,,,60,15,34.20,0,0,amount,,87537,single,963,0,963,shop,https://tarunyaprokashon.com/media/books/Mini-Parenting-Book-250x389.jpg,Imported from stock report
ভাইকিংদের দেশে,ইবনে ফাদলান,সঞ্চালন প্রকাশনী,,,340,138,146.20,0,0,amount,,94867,single,421,0,421,shop,https://tarunyaprokashon.com/media/books/viking_der_desh.webp,Imported from stock report
কিশোর ক্লাসিক ইসলামের ইতিহাস (প্রথম),,,,,300,218,225.00,0,0,amount,,94868,single,85,0,85,shop,,Imported from stock report
কিশোর ক্লাসিক ইসলামের ইতিহাস (দ্বিতীয় ভাগ),,,,,400,306,320.00,0,0,amount,,94869,single,101,0,101,shop,,Imported from stock report
নিশীতের নূর,,,,,120,40,68.40,0,0,amount,,94870,single,196,0,196,shop,,Imported from stock report
অমীমাংসিত রহস্য,,,,,560,80,224.00,0,0,amount,,95478,single,137,0,137,shop,,Imported from stock report
দ্য নিউ ওয়ার্ল্ড অর্ডার,রালপ এপারসন,সঞ্চালন প্রকাশনী,,,760,100,304,0,0,amount,,95477,single,171,0,171,shop,https://tarunyaprokashon.com/media/books/the_new_world_order.webp,Imported from stock report
test,রালপ এপারসন & শিব্বির আহমেদ উসমানী,তারুণ্য প্রকাশন,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/2.jpg,Imported from books.csv
দ্য নিউ ওয়ার্ল্ড অর্ডার & অমীমাংসিত রহস্য,রালপ এপারসন & শিব্বির আহমেদ উসমানী,সঞ্চালন প্রকাশন,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/new_world_and_omimanshito.jpg,Imported from books.csv
ফুল বাগিচার বুলবুলি,আম্মারুল হক,তারুণ্য প্রকাশন,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/Full-bagichar-bulbuli-Final-250x386.webp,Imported from books.csv
নীশিতের নূর,মো: জাহেদুল ইসলাম আল রাইয়ান,তারুণ্য প্রকাশন,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/nishiter-noor-final.jpg,Imported from books.csv
কিশোর ক্লাসিক ইসলামের ইতিহাস ১ম ও ২য় খন্ড,রেদওয়ান সামী,তারুণ্য প্রকাশন,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/islamer-itihas-1.png,Imported from books.csv
তোমাদের জন্য জান্নাত,"সেলিনা জাহান, সালাহউদ্দীন জাহাঙ্গীর",তারুণ্য প্রকাশন,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/Cover_tomader_jonno_jannat-05.jpg,Imported from books.csv
একটি আয়াত একটি গল্প (৫টি বই),সালাহউদ্দীন জাহাঙ্গীর,তারুণ্য প্রকাশন,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/PHOTO-2021-06-19-11-14-11_2.jpg,Imported from books.csv
"ছোটদের পরশমণি সিরিজ (১,২,৩)",মাসউদুর রহমান,তারুণ্য প্রকাশন,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/tarunyo-250x390.jpg,Imported from books.csv
১৮৫৭ স্বাধীনতা যুদ্ধের উপাখ্যান,ইমরান রাইহান,সঞ্চালন প্রকাশনী,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/%E0%A6%AA%E0%A6%B0%E0%A6%9A%E0%A6%9B%E0%A6%A6-%E0%A7%A7%E0%A7%AE%E0%A7%AB%E0%A7%AD-250x390.webp,Imported from books.csv
আন্দালুসের গল্প,আম্মারুল হক,সঞ্চালন প্রকাশনী,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/%E0%A6%AA%E0%A6%B0%E0%A6%9A%E0%A6%9B%E0%A6%A6-%E0%A6%86%E0%A6%A8%E0%A6%A6%E0%A6%B2%E0%A6%B8%E0%A6%B0-%E0%A6%97%E0%A6%B2%E0%A6%AA--250x390.jpg,Imported from books.csv
ঘোড়ার খুরে পদানত করলো যারা সাম্রাজ্যের সিংহাসন,ইমরান রাইহান,সঞ্চালন প্রকাশনী,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/shamrajjor_er_shinhashon.webp,Imported from books.csv
ছড়ানো মুক্তা মানিক,আবদুল্লাহ আল মামুন,সঞ্চালন প্রকাশনী,,,0,0,0,0,0,amount,,,single,0,0,0,shop,https://tarunyaprokashon.com/media/books/chorano-mukta-manik-final-print-cover.webp,Imported from books.csv
